taxon,gi,ena,description
1280,153070,M19652.1,"Staphylococcus aureus strain T48 plasmid pT48, complete sequence
"
210,115521885,DQ915941.1,"Helicobacter pylori strain 69 plasmid pHP69, complete sequence
"
264203,285026736,CP001882.1,"Zymomonas mobilis subsp. mobilis ZM4 plasmid pZZM402, complete sequence
"
562,49182332,AY639886.1,"Escherichia coli cryptic plasmid pRK2, complete sequence
"
54571,76556431,AM087403.1,"Streptomyces venezuelae pSVH1 plasmid
"
1231626,404433340,HE983996.1,"Cardinium endosymbiont cEper1 of Encarsia pergandiella pCher plasmid, complete sequence
"
476210,225546688,CP001528.1,"Borrelia burgdorferi 118a plasmid 118a_cp32-6, complete sequence
"
523796,283471940,AM990995.1,"Staphylococcus aureus subsp. aureus ST398 pS0385-3 plasmid, isolate SO385
"
568206,227007918,CP001216.1,"Bacillus anthracis str. CDC 684 plasmid pX01, complete sequence
"
2133,74095394,AJ969070.1,"Spiroplasma citri pSci2 plasmid
"
267608,30407128,AL646053.1,"Ralstonia solanacearum GMI1000 megaplasmid complete sequence
"
662024,255592049,GQ353340.1,"Endophytic bacterium LOB-07 plasmid pLK39, complete sequence
"
1042878,338171767,CP002880.1,"Cupriavidus necator N-1 plasmid pBB2, complete sequence
"
59511,47525202,AY603983.1,"Pseudomonas syringae pv. maculicola strain ES4326 plasmid pPMA4326E, complete sequence
"
498740,223929385,CP001418.1,"Borrelia burgdorferi 64b plasmid 64b_cp32-3-8, complete sequence
"
210,295986893,HM125988.1,"Helicobacter pylori strain AL236 plasmid pAL236-2, complete sequence
"
43080,157267039,EU030940.1,"Sulfolobus islandicus strain ARN3/6 plasmid pXZ1, complete sequence
"
100379,257796169,AB479510.1,"Onion yellows phytoplasma plasmid EcOYNIM_2000 DNA, complete sequence
"
426117,168199314,CP000945.1,"Methylobacterium sp. 4-46 plasmid pM44602, complete sequence
"
1517,951220,L38403.1,"Thermoanaerobacterium thermosaccharolyticum plasmid pNB2, complete sequence
"
366602,167351685,CP000929.1,"Caulobacter sp. K31 plasmid pCAUL02, complete sequence
"
1009857,575428640,CP002700.1,"Buchnera aphidicola str. W106 (Myzus persicae) plasmid pLeu, complete genome
"
1902,17974213,AJ414671.1,"Streptomyces coelicolor plasmid 2 (SCP2*)
"
1382700,544345556,HG428756.1,"Escherichia coli PMV-1 pHUSEC411like plasmid, complete sequence
"
398511,288548108,CGS-ASRI,"Bacillus pseudofirmus OF4 plasmid pBpOF4-01, complete sequence
"
880591,308752797,CP002225.1,"Ketogulonicigenium vulgare Y25 plasmid pYP1, complete sequence
"
666,113057454,DQ787205.1,"Vibrio cholerae strain G4.1 plasmid pVCG4.1, complete sequence
"
573065,315418516,CP002397.1,"Asticcacaulis excentricus CB 48 plasmid pASTEX01, complete sequence
"
1405,60416556,AJ871637.1,"Bacillus mycoides pSin9.7 plasmid
"
84159,84578851,AB116387.1,"Magnetospirillum magneticum plasmid pMGT, complete sequence
"
77133,77733972,AJ863570.1,"Uncultured bacterium IncP-1beta multiresistance plasmid pB8
"
1423,149050,M13761.1,"Bacillus subtilis plasmid pIM13, complete sequence
"
1428,165875302,EU362917.1,"Bacillus thuringiensis strain INTA-FR7-4 plasmid pFR12, complete sequence
"
158,12313702,AF112856.1,"Treponema denticola plasmid pTS1, complete sequence
"
550,226426103,EU855788.1,"Enterobacter cloacae plasmid pEC-IMPQ, complete sequence
"
933950,289657733,center,"Candidatus Rickettsia amblyommii strain AaR/SC plasmid pRAM23, complete sequence
"
1280,260066106,GQ900404.1,"Staphylococcus aureus plasmid SAP046B, complete sequence
"
1718,216381,D00038.1,"Corynebacterium glutamicum plasmid pAM330 DNA, complete sequence
"
1590,20853804,AY096005.1,"Lactobacillus plantarum plasmid pLP9000, complete sequence
"
331111,157076497,CP000795.1,"Escherichia coli E24377A plasmid pETEC_80, complete sequence
"
103690,17134963,AP003606.1,"Nostoc sp. PCC 7120 plasmid pCC7120zeta DNA, complete sequence
"
795797,299126090,KHU,"Halalkalicoccus jeotgali B3 plasmid 1, complete sequence
"
33964,27552369,AJ493278.1,"Leuconostoc citreum pLC22R plasmid, complete genome
"
47714,58701050,AY662330.1,"Lactobacillus paracasei subsp. paracasei strain NFBC338 plasmid pCD01, complete sequence
"
486,83701205,DQ229163.1,"Neisseria lactamica plasmid pNL9, complete sequence
"
1351,22652807,AF503772.1,"Enterococcus faecalis plasmid pAMalpha1, complete sequence
"
51669,88687356,AB250926.1,"Tetragenococcus halophilus plasmid pSKPB18 DNA, complete sequence
"
287,156104616,AM778842.1,"Pseudomonas aeruginosa pMATVIM-7 plasmid
"
1123863,365188784,HE617161.1,"Pantoea ananatis LMG 5342 plasmid pPANA10 complete sequence
"
1282,260066083,GQ900381.1,"Staphylococcus epidermidis plasmid SAP016A, complete sequence
"
562,84180836,DQ311641.1,"Escherichia coli plasmid pIGWZ12, complete sequence
"
476,262088953,GQ998872.1,"Moraxella bovis strain ATCC 10900 plasmid pMbo4.6, complete sequence
"
1075,27531012,AB082959.1,"Rhodobacter blasticus plasmid pMG160 DNA, complete sequence
"
28901,15215568,AY048853.1,"Salmonella choleraesuis strain 79500 plasmid pSFD10, complete sequence
"
445987,224497187,CP001437.1,"Borrelia valaisiana VS116 plasmid VS116_lp25, complete sequence
"
645657,291486745,AP011542.1,"Bacillus subtilis subsp. natto BEST195 plasmid pBEST195S DNA, complete genome
"
1280,260066118,GQ900416.1,"Staphylococcus aureus plasmid SAP060A, complete sequence
"
1358,6573267,AF207855.1,"Lactococcus lactis plasmid pAH33, complete sequence
"
29491,187606660,AM258965.2,"Aeromonas salmonicida subsp. salmonicida pAsa6 plasmid, isolate RSP74.1
"
622759,258553456,CP001724.1,"Zymomonas mobilis subsp. mobilis NCIMB 11163 plasmid pZA1002, complete sequence
"
63737,186469549,CP001040.1,"Nostoc punctiforme PCC 73102 plasmid pNPUN03, complete sequence
"
195,39979640,AY394560.1,"Campylobacter coli plasmid pCC31, complete sequence
"
1280,4090650,U96609.1,"Staphylococcus aureus plasmid pSK3, complete genome
"
585055,218359249,CU928159.2,"Escherichia coli str. 55989 plasmid 55989p, complete genome
"
573,215397949,EU938349.1,"Klebsiella pneumoniae strain 0773 plasmid pCTXM360, complete sequence
"
40324,155965497,EF535851.1,"Stenotrophomonas maltophilia plasmid pSM76, complete sequence
"
37694,40288347,AY423627.1,"Beet leafhopper transmitted virescence phytoplasma plasmid pBLTVA-1, complete sequence
"
445983,219693104,CP001273.1,"Borrelia burgdorferi 156a plasmid 156a_lp28-1, complete sequence
"
445986,216752489,CP001239.1,"Borrelia afzelii ACA-1 plasmid lp17, complete sequence
"
445983,219692826,CP001265.1,"Borrelia burgdorferi 156a plasmid 156a_lp25, complete sequence
"
443906,147829040,AM711866.1,"Clavibacter michiganensis subsp. michiganensis NCPPB 382, plasmid pCM2
"
498737,224554099,CP001453.1,"Borrelia burgdorferi WI91-23 plasmid WI91-23_cp32-5, complete sequence
"
661410,254265767,FP103044.1,"Methylobacterium extorquens DM4 str. DM4 plasmid p2METDI, complete genome
"
1280,260066169,GQ900467.1,"Staphylococcus aureus plasmid pWBG763, complete sequence
"
187410,3883003,AF074611.1,"Yersinia pestis KIM10+ plasmid pMT-1, complete sequence
"
219334,530677534,AP012545.1,"Lactobacillus casei subsp. casei ATCC 393 plasmid pLBCZ-1 DNA, complete genome
"
338966,118504932,CP000484.1,"Pelobacter propionicus DSM 2379 plasmid pPRO2, complete sequence
"
498743,219694219,CP001307.1,"Borrelia garinii PBr plasmid PBr_lp28-3, complete sequence
"
1766,149989,M23557.1,"Mycobacterium fortuitum plasmid pAL5000, complete sequence
"
65393,218175409,CP001295.1,"Cyanothece sp. PCC 7424 plasmid pP742404, complete sequence
"
869729,307629778,CP002168.1,"Escherichia coli UM146 plasmid pUM146, complete sequence
"
1358,118197791,U26594.2,"Lactococcus lactis plasmid pCL2.1, complete sequence
"
1458426,635599518,AP014570.1,"Comamonadaceae bacterium B1 plasmid pSMB1 DNA, complete genome
"
562,82659490,DQ286390.1,"Escherichia coli strain CA46 plasmid pColG, complete sequence
"
13690,110346757,AB265740.1,"Sphingobium yanoikuyae plasmid pYAN-1 DNA, complete sequence
"
46126,114425695,AM399080.1,"Staphylococcus chromogenes pLNU8 plasmid
"
1363,373809324,HE650695.1,"Lactococcus garvieae 21881 plasmid pGL1 complete sequence
"
439375,151563822,CP000761.1,"Ochrobactrum anthropi ATCC 49188 plasmid pOANT02, complete sequence
"
476211,221237451,CP001376.1,"Borrelia burgdorferi 72a plasmid 72a_cp32-5, complete sequence
"
511995,212549392,AP010658.1,"Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 plasmid pCFPG2 DNA, complete sequence
"
1358,76574915,DQ149245.1,"Lactococcus lactis plasmid pSK11P, complete sequence
"
1248330,11527992,AF310974.1,"Lactobacillus sp. PC121B plasmid p121BS, complete sequence
"
99287,973795114,AE006471.2,"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT, complete sequence
"
195,65306800,AY948117.1,"Campylobacter coli plasmid p3386, complete sequence
"
137722,288915277,AP010952.1,"Azospirillum sp. B510 plasmid pAB510f DNA, complete genome
"
1280,21205806,AP004832.1,"Staphylococcus aureus plasmid pMW2 DNA, complete sequence
"
105559,299541596,CP002088.1,"Nitrosococcus watsoni C-113 plasmid pNWAT02, complete sequence
"
562,304655537,FN868832.1,"Escherichia coli plasmid pCT, complete sequence, strain C159/11
"
498741,225547401,CP001520.1,"Borrelia sp. SV1 plasmid SV1_cp32-4, complete sequence
"
176280,27316889,AE015930.1,"Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-01, complete sequence
"
1126,217952,D10841.1,"Microcystis aeruginosa small plasmid pMA1 DNA, complete sequence (encoding replication protein, complete cds)
"
395961,219867555,CP001347.1,"Cyanothece sp. PCC 7425 plasmid pP742503, complete sequence
"
504472,283821162,CP001776.1,"Spirosoma linguale DSM 74 plasmid pSLIN07, complete sequence
"
214092,5834685,AL117211.1,"Yersinia pestis CO92 plasmid pMT1
"
632,2996222,AF053946.1,"Yersinia pestis strain KIM5 plasmid pCD1, complete sequence
"
445986,216752369,CP001237.1,"Borrelia afzelii ACA-1 plasmid cp32-3, complete sequence
"
1280,260066150,GQ900448.1,"Staphylococcus aureus plasmid pSK156, complete sequence
"
476210,225547033,CP001539.1,"Borrelia burgdorferi 118a plasmid 118a_lp38, complete sequence
"
634459,256656482,AP011173.1,"Acetobacter pasteurianus IFO 3283-12 plasmid pAPA12-030 DNA, complete genome
"
390236,110891363,CP000406.1,"Borrelia afzelii PKo plasmid lp31 fragment c, complete sequence
"
309801,221157271,CP001276.1,"Thermomicrobium roseum DSM 5159 plasmid, complete sequence
"
195102,15076712,AP003515.1,"Clostridium perfringens str. 13 plasmid pCP13 DNA, complete sequence
"
349102,145558483,CP000664.1,"Rhodobacter sphaeroides ATCC 17025 plasmid pRSPA03, complete sequence
"
634458,256653497,AP011168.1,"Acetobacter pasteurianus IFO 3283-01-42C plasmid pAPA42C_050 DNA, complete genome
"
476211,221237304,CP001372.1,"Borrelia burgdorferi 72a plasmid 72a_cp32-12, complete sequence
"
634454,256640922,AP011136.1,"Acetobacter pasteurianus IFO 3283-07 plasmid pAPA07-010 DNA, complete genome
"
1280,158251811,EU170347.1,"Staphylococcus aureus strain KH13 plasmid pKH13, complete sequence
"
546,54125512,AF550415.2,"Citrobacter freundii plasmid pCTX-M3, complete sequence
"
1358,145968721,AY849557.2,"Lactococcus lactis plasmid pGdh442, complete sequence
"
498740,223929529,CP001420.1,"Borrelia burgdorferi 64b plasmid 64b_lp28-2, complete sequence
"
511995,212549354,AP010657.1,"Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 plasmid pCFPG1 DNA, complete sequence
"
749,345499968,FR687372.1,"Pasteurella aerogenes plasmid pCCK343, complete sequence, isolate B343
"
985002,356871477,FR821778.1,"Staphylococcus argenteus MSHR1132 plasmid pST75 complete sequence
"
1117943,365181624,HE616892.1,"Sinorhizobium fredii HH103 plasmid pSfHH103b complete sequence
"
851,15419626,AF295336.1,"Fusobacterium nucleatum plasmid pKH9, complete sequence
"
77133,257735394,FN429768.1,"Uncultured bacterium plasmid pTRACA30 complete sequence
"
1280,46555,V01278.1,"S.aureus plasmid pE194 ORF's A,B,C,D,E, and F
"
59511,47525154,AY603980.1,"Pseudomonas syringae pv. maculicola strain ES4326 plasmid pPMA4326B, complete sequence
"
115714,61677262,AY951985.1,"Pseudomonas sp. S-47 plasmid p47S, complete sequence
"
562,228480787,EU935740.1,"Escherichia coli strain C plasmid pEK204, complete sequence
"
68570,56675909,AB058947.1,"Streptomyces albulus plasmid pNO33 DNA, complete sequence
"
1280,260066093,GQ900391.1,"Staphylococcus aureus plasmid pWBG749, complete sequence
"
60925,2352284,AF002712.1,"Porphyra pulchra plasmid Pp6859, complete sequence
"
498740,223929699,CP001424.1,"Borrelia burgdorferi 64b plasmid 64b_cp32-9, complete sequence
"
458233,222121415,AP009487.1,"Macrococcus caseolyticus JCSC5402 plasmid pMCCL3 DNA, complete sequence
"
1280,163961299,EU333812.1,"Staphylococcus aureus strain JY11 plasmid pKH18, complete sequence
"
445985,218165199,CP001207.1,"Borrelia burgdorferi ZS7 plasmid ZS7_lp28-4, complete sequence
"
668336,261410560,GQ866235.1,"Aggregatibacter actinomycetemcomitans strain D11S-1 plasmid S57, complete sequence
"
498740,223929826,CP001427.1,"Borrelia burgdorferi 64b plasmid 64b_cp32-6, complete sequence
"
634455,256644155,AP011144.1,"Acetobacter pasteurianus IFO 3283-22 plasmid pAPA22-020 DNA, complete genome
"
817,1002685,U30316.1,"Bacteroides fragilis strain IB143 plasmid pBI143, complete sequence
"
1613,28273038,AJ488494.2,"Lactobacillus fermentum plasmid pLME300
"
1148,38423692,AP004311.1,"Synechocystis sp. PCC 6803 plasmid pSYSA DNA, complete genome
"
43080,55650896,AJ748322.1,"Sulfolobus islandicus plasmid pARN3
"
511995,212549421,AP010659.1,"Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 plasmid pCFPG3 DNA, complete sequence
"
562,9081976,AF197335.1,"Escherichia coli pCol-let plasmid, complete plasmid sequence
"
1280,46643,X06627.1,"Staphylococcus aureus plasmid pS194 sequence
"
98360,169246155,DQ115388.2,"Salmonella enterica subsp. enterica serovar Dublin serovar Dublin plasmid pOU1115, complete sequence
"
653938,284058828,CP001603.1,"Listeria monocytogenes 08-5578 plasmid pLM5578, complete sequence
"
344601,6009376,AB024946.1,"Escherichia coli B171 plasmid pB171 DNA, complete sequence
"
29491,15822653,AY043298.1,"Aeromonas salmonicida subsp. salmonicida plasmid pRAS3.1, complete sequence
"
231374,31580580,AY255829.1,"Erwinia sp. Ejp 556 plasmid pEJ30, complete sequence
"
348824,583961951,HG916855.1,"Rhizobium sp. LPU83 plasmid pLPU83d complete sequence
"
1856,13432064,AY027524.1,"Frankia sp. CpI1 plasmid pFQ12, complete plasmid sequence
"
1230587,407321179,HE995407.1,"Sinorhizobium meliloti Rm41 plasmid pSYMA complete sequence
"
579137,261370852,CP001788.1,"Methanocaldococcus vulcanius M7 plasmid pMETVU01, complete sequence
"
77133,31746361,AJ564903.1,"Uncultured bacterium IncP-1beta multiresistance plasmid pB10
"
288681,66970687,CP000043.1,"Bacillus cereus E33L plasmid pE33L8, complete sequence
"
90371,261857267,FN432031.1,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid pSLT-BT, complete sequence
"
498740,223929784,CP001426.1,"Borrelia burgdorferi 64b plasmid 64b_cp32-11, complete sequence
"
363253,94731935,AM180255.1,"Lawsonia intracellularis PHE/MN1-00 plasmid 3
"
521096,296030042,CP001967.1,"Tsukamurella paurometabola DSM 20162 plasmid pTpau01, complete sequence
"
47714,258593923,FM246455.2,"Lactobacillus paracasei subsp. paracasei pSJ2-8 plasmid
"
562,37654998,AY360321.1,"Escherichia coli plasmid p9123, complete sequence
"
44688,23200588,AB079381.2,"Lactococcus lactis subsp. lactis bv. diacetylactis cryptic plasmid pDR1-1, complete sequence
"
1247,62084035,AB208028.1,"Oenococcus oeni plasmid pOM1 DNA, complete sequence
"
272630,240012920,CP001513.1,"Methylobacterium extorquens AM1 plasmid p2META1, complete sequence
"
1428,260155,257621,"orf {2-kbp miniplasmid} [Bacillus thuringiensis, kurstaki HD-3a3b, Plasmid Complete, 2058 nt]
"
678600,260066085,GQ900383.1,"Staphylococcus sp. CDC25 plasmid SAP018A, complete sequence
"
666,113057428,DQ787204.1,"Vibrio cholerae strain G1.1 plasmid pVCG1.2, complete sequence
"
65384,5817769,AF149757.1,"Vibrio sp. 41 cryptic plasmid pPS41, complete sequence
"
43080,55650854,AJ748321.1,"Sulfolobus islandicus plasmid pKEF9
"
1311,511074,X72021.1,"S.agalactiae plasmid pIP501 copR, repR amd ML5-R genes
"
1590,224924258,FJ755814.1,"Lactobacillus plantarum plasmid pLD1, complete sequence
"
266264,56068618,X71400.2,"Ralstonia metallidurans CH34 plasmid pMOL30
"
562,158347550,EF536825.1,"Escherichia coli strain H22 plasmid MccC7-H22, complete sequence
"
348780,76559182,CR936258.1,"Natronomonas pharaonis DSM 2160 plasmid PL131 complete genome
"
41431,218169729,CP001290.1,"Cyanothece sp. PCC 8801 plasmid pP880103, complete sequence
"
1308,2502023,AF022180.1,"Streptococcus thermophilus strain ST371 cryptic plasmid pER371, complete sequence
"
303,295443534,AB434906.1,"Pseudomonas putida plasmid pDK1 DNA, complete sequence, strain: HS1
"
585054,218350150,CU928144.1,"Escherichia fergusonii ATCC 35469 plasmid pEFER, complete genome
"
1408,2695683,AF036712.1,"Bacillus pumilus plasmid pPL10, complete plasmid sequence
"
1833,51890411,AB127588.1,"Rhodococcus erythropolis plasmid pRE8424 DNA, complete sequence
"
412419,201084199,CP000978.1,"Borrelia duttonii Ly plasmid pl15, complete sequence
"
1617448,770474177,AP014826.1,"Geminocystis sp. NIES-3709 plasmid pGM3709_05 DNA, complete genome
"
1280,4090653,U96610.1,"Staphylococcus aureus plasmid pSK6, complete genome
"
1590,219523814,FJ374272.1,"Lactobacillus plantarum plasmid pLFE1, complete sequence
"
573,299474760,FJ628167.2,"Klebsiella pneumoniae strain KP048 plasmid pKP048, complete sequence
"
1718,4583389,AF121000.1,"Corynebacterium glutamicum strain 22243 R-plasmid pAG1, complete sequence
"
476210,225546667,CP001527.1,"Borrelia burgdorferi 118a plasmid 118a_lp17, complete sequence
"
574521,215267788,FM180569.1,"Escherichia coli 0127:H6 E2348/69 plasmid pMAR2, strain E2348/69
"
390236,110891129,CP000399.1,"Borrelia afzelii PKo plasmid lp32, complete sequence
"
359,10567310,AP002086.1,"Agrobacterium rhizogenes plasmid pRi1724 DNA, complete sequence
"
573,297787483,GU585907.1,"Klebsiella pneumoniae strain NL194 plasmid pNL194, complete sequence
"
339670,115286659,CP000443.1,"Burkholderia cepacia AMMD plasmid 1, complete sequence
"
1502,150738,M32882.1,"Clostridium perfringens plasmid pIP404, complete sequence
"
445984,226202307,CP001571.1,"Borrelia burgdorferi Bol26 plasmid Bol26_lp54, complete sequence
"
573,209574188,FJ223606.1,"Klebsiella pneumoniae strain 15 plasmid 15S, complete sequence
"
90371,157170689,AM746977.1,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid pTPqnrS-1a
"
362242,42414718,BX649209.1,"Mycobacterium ulcerans plasmid pMUM001, complete plasmid genome
"
1081646,365194310,CP003202.1,"Borrelia garinii BgVir plasmid lp54, complete sequence
"
1280,260066099,GQ900397.1,"Staphylococcus aureus plasmid pWBG757, complete sequence
"
287,114703507,AM261760.1,"IncP-1alpha plasmid pBS228, complete sequence
"
486,81366891,DQ227325.1,"Neisseria lactamica isolate 811778 plasmid pNL15, complete sequence
"
1288970,578038742,FO538766.1,"Magnetospira sp. QH-2 plasmid MGMAQ_p, complete genome
"
316275,208011468,FM178382.1,"Aliivibrio salmonicida LFI1238 plasmid pVSAL320 complete genome
"
33964,295913737,AB360637.2,"Leuconostoc citreum plasmid pCB42 DNA, complete sequence
"
1286,86439160,AM184100.1,"Staphylococcus simulans plasmid pLNU2, isolate 184/61
"
573,290792044,FJ876826.1,"Klebsiella pneumoniae strain KF3 plasmid pKF3-94, complete sequence
"
1266844,528530761,HF677576.1,"Acetobacter pasteurianus 386B plasmid Apa386Bp6, complete sequence
"
712961,300215319,CP002036.1,"Lactobacillus salivarius CECT 5713 plasmid pHN2, complete sequence
"
526227,296852313,CP002044.1,"Meiothermus silvanus DSM 9946 plasmid pMESIL02, complete sequence
"
400667,126373843,CP000523.1,"Acinetobacter baumannii ATCC 17978 plasmid pAB2, complete sequence
"
1280,164698794,EU365622.1,"Staphylococcus aureus strain JY22 plasmid pKH17, complete sequence
"
405531,218546058,CP001187.1,"Bacillus cereus G9842 plasmid pG9842_209, complete sequence
"
715,66840966,AJ877041.1,"Actinobacillus pleuropneumoniae plasmid pPSAS1522
"
862719,357426311,FQ311870.1,"Azospirillum lipoferum 4B plasmid AZO_p2 complete genome
"
1280,260066140,GQ900438.1,"Staphylococcus aureus plasmid SAP085B, complete sequence
"
176280,27316926,AE015934.1,"Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-05, complete sequence
"
583346,219570536,AP009050.1,"Clostridium kluyveri NBRC 12016 plasmid pCKL1 DNA, complete sequence, strain: NBRC 12016
"
77133,110781057,AM261282.1,"Uncultured bacterium IncP-1 plasmid pKJK5 complete sequence
"
509170,169150781,CU468233.1,"Acinetobacter baumannii SDF plasmid p3ABSDF, complete genome
"
2105,10443896,AF257325.1,"Mycoplasma sp. 'bovine group 7' plasmid pBG7AU, complete plasmid sequence
"
426117,168199251,CP000944.1,"Methylobacterium sp. 4-46 plasmid pM44601, complete sequence
"
762051,295831554,CP001753.1,"Leuconostoc kimchii IMSNU 11154 plasmid LkipL4701, complete sequence
"
1590,157324957,EF690364.2,"Lactobacillus plantarum plasmid pM4, complete sequence
"
582744,253987291,CP001676.1,"Methylovorus glucosetrophus SIP3-4 plasmid pMsip02, complete sequence
"
288681,66970626,CP000041.1,"Bacillus cereus E33L plasmid pE33L5, complete sequence
"
1229758,407242818,CGU,"Leuconostoc carnosum JB16 plasmid pKLC1, complete genome
"
851,6941824,AF159249.1,"Fusobacterium nucleatum plasmid pFN1, complete sequence
"
137722,288913807,AP010949.1,"Azospirillum sp. B510 plasmid pAB510c DNA, complete genome
"
889933,312831053,FR714928.1,"Staphylococcus aureus subsp. aureus ECT-R 2 plasmid pLUH01, complete sequence
"
1282,260066160,GQ900458.1,"Staphylococcus epidermidis plasmid SAP108A, complete sequence
"
445987,224497290,CP001440.1,"Borrelia valaisiana VS116 plasmid VS116_lp28-3, complete sequence
"
1358,14251219,U16027.2,"Lactococcus lactis plasmid pSRQ700, complete sequence
"
1280,260066097,GQ900395.1,"Staphylococcus aureus plasmid pWBG753, complete sequence
"
756883,344323083,CP002990.1,"Halophilic archaeon DL31 plasmid phalar02, complete sequence
"
77133,19070006,AJ431260.1,"Uncultured bacterium plasmid pB4 complete genome
"
210,75707110,DQ198799.1,"Helicobacter pylori strain CCUG 17874 plasmid pHP666, complete sequence
"
504472,283820939,CP001771.1,"Spirosoma linguale DSM 74 plasmid pSLIN02, complete sequence
"
210,530826,U12689.1,"Helicobacter pylori plasmid pHPM180, complete sequence
"
168471,57231737,AY858987.1,"Laribacter hongkongensis plasmid pHLHK8, complete sequence
"
716540,291201062,FN666577.1,"Erwinia amylovora ATCC 49946 plasmid 2
"
485,89112909,DQ355980.1,"Neisseria gonorrhoeae 5.2 kb beta-lactamase plasmid pSJ5.2, complete sequence
"
543526,284017284,CP001862.1,"Haloterrigena turkmenica DSM 5511 plasmid pHTUR02, complete sequence
"
47874,61106467,AY860110.1,"Micromonospora rosaria strain SCC2095 plasmid pMR2, complete sequence
"
596995,317016315,GU173851.1,"Bartonella sp. TT0105 plasmid pTT0105, complete genome
"
632,52537981,AJ698720.1,"Yersinia pestis pG8786 plasmid
"
537457,189916535,CP001093.1,"Actinobacillus pleuropneumoniae serovar 7 str. AP76 plasmid ABB7_B, complete sequence
"
1396,116584642,DQ889677.1,"Bacillus cereus strain AH820 plasmid pPER272, complete sequence
"
337191,301321484,CP002112.1,"Gordonia sp. KTR9 plasmid pGKT2, complete sequence
"
762608,297374407,FN822746.1,"Escherichia coli ETEC 1392/75 plasmid p557 complete sequence
"
498739,224554693,CP001479.1,"Borrelia burgdorferi CA-11.2a plasmid CA-11.2A_cp32-1, complete sequence
"
344610,188501074,CP001064.1,"Escherichia coli 53638 plasmid p53638_226, complete sequence
"
368408,119525863,CP000506.1,"Thermofilum pendens Hrk 5 plasmid pTPEN01, complete sequence
"
1371,1658491,U75508.1,"Marinococcus halophilus plasmid pPL1, complete sequence
"
1360,118136316,DQ917780.1,"Lactococcus lactis subsp. lactis plasmid pL2, complete sequence
"
1280,300492196,GU565967.1,"Staphylococcus aureus plasmid pSK1, complete sequence
"
498742,224497745,CP001470.1,"Borrelia spielmanii A14S plasmid A14S_lp28-4, complete sequence
"
279808,68448411,AP006719.1,"Staphylococcus haemolyticus JCSC1435 plasmid pSHaeC DNA, complete sequence
"
405441,182632844,CP001012.1,"Xylella fastidiosa M23 plasmid pXFAS01, complete sequence
"
412420,148872379,CP000723.1,"Yersinia pestis CA88-4125 plasmid pMT1, complete sequence
"
1280,304387190,CP002145.1,"Staphylococcus aureus strain 18813 plasmid p18813-P03, complete sequence
"
366394,150031715,CP000740.1,"Sinorhizobium medicae WSM419 plasmid pSMED02, complete sequence
"
813,228007430,FM865441.1,"Chlamydia trachomatis plasmid pSW4, strain Sweden4, serovar F
"
623,58044990,AY879342.1,"Shigella flexneri plasmid pSF5, complete sequence
"
935198,187723947,CP001057.1,"Clostridium botulinum B str. Eklund 17B plasmid pCLL, complete sequence
"
1280,260066134,GQ900432.1,"Staphylococcus aureus plasmid SAP079A, complete sequence
"
768065,334353262,FR746101.1,"Haloquadratum walsbyi C23 plasmid PL6A, complete genome
"
365044,120596808,CP000536.1,"Polaromonas naphthalenivorans CJ2 plasmid pPNAP07, complete sequence
"
637385,262364042,CP001591.1,"Yersinia pestis D182038 plasmid pMT1, complete sequence
"
43770,9945780,AF024666.2,"Corynebacterium striatum strain M82B R-plasmid pTP10, complete sequence
"
1351,267822499,GU128949.1,"Enterococcus faecalis strain DS5 plasmid pAMbeta1, complete sequence
"
615,189096654,EU697813.1,"Serratia marcescens strain ACE2 plasmid pRK10, complete sequence
"
38294,118596719,AB277723.1,"Photobacterium damselae subsp. piscicida plasmid pP99-018 DNA, complete sequence
"
190486,21110821,AE008924.1,"Xanthomonas axonopodis pv. citri str. 306 plasmid pXAC33, complete sequence
"
634456,256647456,AP011155.1,"Acetobacter pasteurianus IFO 3283-26 plasmid pAPA26-060 DNA, complete genome
"
985006,343887213,FR821780.1,"Staphylococcus aureus subsp. aureus LGA251 plasmid pLGA251 complete sequence
"
290633,58000668,CP000004.1,"Gluconobacter oxydans 621H plasmid pGOX1, complete sequence
"
33964,209165329,EU784088.1,"Leuconostoc citreum strain C4 plasmid pFMBL1, complete sequence
"
224326,3253099,TIGR,"Borrelia burgdorferi B31 plasmid cp9, complete sequence
"
382,12584931,AF327371.1,"Sinorhizobium meliloti plasmid pRm1132f, complete sequence
"
634457,256650438,AP011159.1,"Acetobacter pasteurianus IFO 3283-32 plasmid pAPA32-030 DNA, complete genome
"
1283,114425698,AM399081.1,"Staphylococcus haemolyticus pLNU7 plasmid
"
137722,288912043,AP010947.1,"Azospirillum sp. B510 plasmid pAB510a DNA, complete genome
"
693216,260219353,FN543096.1,"Cronobacter turicensis z3032 plasmid pCTU3, complete sequence
"
176280,27316949,AE015935.1,"Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-06, complete sequence
"
